-0.7315,1.48718,0.192828,1.07329,0.438953,1.399,1.1801
-0.731321,1.48323,0.199151,1.09361,0.433909,1.39312,1.18038
-0.731245,1.47996,0.204345,1.11019,0.429963,1.38788,1.18084
-0.731216,1.47748,0.208296,1.12264,0.427032,1.38331,1.18133
-0.731205,1.47576,0.211041,1.13118,0.425014,1.37973,1.18175
-0.731201,1.47464,0.212826,1.13667,0.423706,1.3772,1.18204
-0.731199,1.47384,0.214125,1.14064,0.422754,1.37526,1.18227
-0.731198,1.4729,0.215636,1.14522,0.421647,1.37289,1.18256
-0.731198,1.47128,0.218263,1.1531,0.419717,1.36847,1.18309
-0.731201,1.46829,0.223145,1.16751,0.416139,1.35929,1.18417
-0.731212,1.46313,0.231473,1.19214,0.410355,1.34135,1.18613
-0.731236,1.45498,0.243518,1.23063,0.404001,1.31115,1.1885
-0.731265,1.44348,0.257874,1.28516,0.402851,1.26901,1.18928
-0.731273,1.42946,0.277851,1.3547,0.406834,1.20981,1.18955
-0.731271,1.41609,0.300331,1.43619,0.418237,1.1386,1.18962
-0.731266,1.40218,0.324591,1.53185,0.442497,1.04081,1.18961
-0.731101,1.38759,0.354166,1.62824,0.495443,0.925164,1.18087
-0.729021,1.38026,0.404224,1.71236,0.559506,0.803148,1.15674
-0.723851,1.39935,0.479025,1.76558,0.673046,0.686407,1.08824
-0.716235,1.43207,0.572021,1.80784,0.786168,0.569718,1.01556
-0.693905,1.46131,0.653149,1.84149,0.867552,0.468797,0.971791
-0.642078,1.48109,0.702878,1.86157,0.921055,0.40317,0.950167
-0.56621,1.49683,0.734874,1.86463,0.954578,0.355788,0.949907
-0.482082,1.50522,0.748958,1.8649,0.986724,0.325242,0.950004
-0.400652,1.5056,0.749451,1.86453,1.00837,0.305377,0.955543
-0.331854,1.50579,0.749344,1.86458,1.01728,0.296341,0.963742
-0.279133,1.5061,0.749183,1.86494,1.01664,0.296479,0.979713
-0.240632,1.50627,0.749239,1.86616,1.01632,0.296803,0.993122
-0.211942,1.50631,0.749627,1.86937,1.01606,0.297454,1.00364
-0.188853,1.50649,0.749911,1.87502,1.01604,0.297657,1.01413
-0.170041,1.50666,0.750102,1.88151,1.01607,0.297585,1.02257
-0.154231,1.50674,0.75022,1.88853,1.0161,0.297455,1.02885
-0.140001,1.50678,0.750228,1.89689,1.01616,0.297375,1.03452
-0.126728,1.50678,0.750163,1.90658,1.01625,0.297371,1.04053
-0.114862,1.50675,0.750181,1.91621,1.01631,0.297389,1.04747
-0.104972,1.50668,0.750409,1.92457,1.01628,0.297376,1.05568
-0.0950853,1.50672,0.750562,1.93414,1.0162,0.297315,1.0643
-0.0824201,1.50704,0.750183,1.94857,1.01614,0.29721,1.07166
-0.070773,1.50744,0.749565,1.96275,1.0161,0.297102,1.07631
